"species" "uvalue"
"492" "Hieracium umbellatum" 0.0872
"493" "Hieracium vasconicum" NA
"494" "Hierochloe australis" NA
"495" "Hippocrepis comosa" NA
"496" "Hippocrepis emerus" NA
"497" "Holcus lanatus" 0.3735
"498" "Holcus mollis" -0.0862
"499" "Holcus spec." NA
"500" "Holosteum umbellatum" NA
"501" "Homogyne alpina" NA
"502" "Hordelymus europaeus" -0.0293
"503" "Hottonia palustris" 0.8
"504" "Humulus lupulus" -0.0644
"505" "Hyacinthoides non-scripta" 0.5469
"506" "Hydrocotyle vulgaris" NA
"507" "Hylotelephium maximum" -0.096
"508" "Hylotelephium telephium" -0.1969
"509" "Hyoscyamus niger" NA
"510" "Hypericum hirsutum" -0.2982
"511" "Hypericum maculatum" -0.21
"512" "Hypericum montanum" -0.3926
"513" "Hypericum perforatum" -0.2564
"514" "Hypericum pulchrum" NA
"515" "Hypericum spec." NA
"516" "Hypericum tetrapterum" NA
"517" "Hypochaeris maculata" NA
"518" "Hypochaeris radicata" NA
"519" "Ilex aquifolium" 0.6146
"520" "Impatiens glandulifera" 0.5311
"521" "Impatiens noli-tangere" -0.0444
"522" "Impatiens parviflora" 0.5165
"523" "Inula britannica" NA
"524" "Inula germanica" NA
"525" "Inula hirta" NA
"526" "Inula oculus-christi" NA
"527" "Inula salicina" -0.5077
"528" "Inula spec." NA
"529" "Iris graminea" NA
"530" "Iris pseudacorus" 0.0595
"531" "Iris pumila" NA
"532" "Iris sibirica" NA
"533" "Iris spuria" NA
"534" "Iris variegata" -0.6276
"535" "Isopyrum thalictroides" -0.3992
"536" "Jacobaea abrotanifolia" NA
"537" "Jacobaea erucifolia" NA
"538" "Jacobaea paludosa" NA
"539" "Jacobaea vulgaris" NA
"540" "Jasione montana" NA
"541" "Juglans regia" 1
"542" "Juncus articulatus" NA
"543" "Juncus conglomeratus" NA
"544" "Juncus effusus" 0.3508
"545" "Juncus inflexus" NA
"546" "Juncus subnodulosus" NA
"547" "Juncus tenuis" NA
"548" "Knautia arvensis" -0.1045
"549" "Knautia dipsacifolia" NA
"550" "Knautia drymeia" -0.362
"551" "Knautia spec." NA
